BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
333,IBM PC ASSEMBLY LANGUAGE AND PROGRAMMING,PETER ABEL,,0.00,2008-07-29,YES,,,
334,JAVA 2 PLATFORM UNLEASHED,JAMIE JAWORSKI,,0.00,2008-07-29,YES,,,
335,ELECTRONIC COMMUNICATION SYSTEMS,KENNEDY DAVIS,,0.00,2008-07-29,YES,,,
336,DATA STRUCTURES USING C,"AARON M TENENBAUM, YEDEDYAH LANGSAM, MOSHE J AUGESTEIN",,260.00,2008-10-06,YES,,,
337,DATA STRUCTURES USING C,"AARON M TENENBAUM, YEDEDYAH LANGSAM, MOSHE J AUGESTEIN",,260.00,2008-10-06,YES,,,
338,UNDESTANDING POINTERS IN C,YASHAVANT P.KANETKAR,,225.00,2008-10-06,YES,,,
339,DESCRETE MATHEMATICAL STRUCTURES WITH APPLICATIONS TO COMPUTER SCIENCE,"J.P.TREMBLAY, R MANOHAR",,285.00,2008-10-06,YES,,,
340,ELECTRIC CIRCUITS THIRD EDITION,"JOSEPH EDMINISTER, MAHMOOD NAHS",,230.00,2008-10-06,YES,,,
341,ELECTRIC CIRCUITS THIRD EDITION,"JOSEPH EDMINISTER, MAHMOOD NAHS",,230.00,2008-10-06,YES,,,
342,FUNDAMENTALS OF COMPUTER ALGORITHMS,"HELLIS HOROCUITS, SARTHAJ SAHNI, SANGEETH EVAN RASISEKA",,230.00,2008-10-10,YES,,,
343,ENVIRONMENTAL STUDIES,ERACH BHARUCHA,,140.00,2008-10-10,YES,,,
344,EFFECTIVE C++ THIRD EDITION,SCOTT MAYERS,,550.00,2008-10-15,YES,,,
345,C & UNIX,martin l. clifford,,299.00,1985-10-22,YES,,,
346,C & UNIX,MARTIN L. CLIFFORD,,299.00,1985-10-22,YES,,,
347,EMBEDDED SYSTEM DESIGN,"FRANK VAHID, TONY GIVARGIS",,279.00,2008-10-22,YES,,,
348,OBJECT ORIENTED PROGRAMMING USING C++,G.K.BALUJA & G.S.BALUJA,,250.00,2008-11-07,YES,,,
349,ALGORITHMS DESIGN & ANALYSIS,UDIT AGARWAL,,200.00,2008-11-07,YES,,,
350,DISCRETE MATHEMATICAL STRUCTURES,UDIT AGARWAL,,175.00,2008-11-07,YES,,,
351,DOT NET FRAMEWORK WITH ASP.NET & C#,"MANISH SHARMA, AMITH GUPTHA",,225.00,2008-11-07,YES,,,
352,MICROPROCESSORS COMPREHENSIVE STUDIES,NARESH GROVER,,180.00,2008-11-07,YES,,,
353,TEXT BOOK OF ENVIRONMENTAL STUDIES,DR.K.RAGHAVAN NAMBIAR\,,300.00,2009-03-09,YES,,,
354,DATA MINING THEORY AND PRACTICE,"K.P.SOMAN, SHYAM DIWAKAR, V.AJAY",,0.00,2008-07-29,YES,,,
355,DATABASE MANAGEMENT SYSTEMS,RAJESH NARANG,,295.00,2009-06-03,YES,,,
356,MICRO CONTROLLERS,RAJ CAMAL,,0.00,2009-06-03,YES,,,
357,LOGIC DESIGN,R.D.SUDHAKER SAMUEL,,300.00,2009-06-03,YES,,,
358,CLASSIC DATA SRUCTURES II EDITION,DEBASIS SAMANTA,,395.00,2009-06-03,YES,,,
359,DATABASE SYSTEMS VTH EDITION,"RAMEEZ ELMASRI, SHAMKANT B.NAYATHE",,0.00,2009-06-03,YES,,,
360,COMPUTER NETWORKS,LARRY L.PETERSON & BRUCE,,425.00,2009-06-22,YES,,,
361,DATA WARE HOUSING,C.S.R.PRABHU,,195.00,2009-06-30,YES,,,
362,INTRODUCTION TO DATA MINING WITH CASE STUDIES,G.K.GUPTA,,325.00,2009-06-30,YES,,,
363,OPERATING SYSTEMS,WILLIAM STALLINGS,,325.00,2009-08-05,YES,,,
364,A COURSE OF ENVIRONMENTAL STUDIES,DR.K.RAGHAVAN NAMBIAR,,220.00,2009-08-05,YES,,,
365,TEXT BOOK OF ENVIRONMENTAL STUDIES,ERACH BARUCHA,,0.00,2009-08-14,YES,,,
366,TEXT BOOK OF ENVIRONMENTAL STUDIES,ERACH BARUCHA,,0.00,2009-08-14,YES,,,
367,INTROCTION TO ENVIRONMENTAL SCIENCE & ENGINEERING,RAMAN SIVAKUMAR,,225.00,2009-08-14,YES,,,
368,TEXT BOOK OF ENVIRONMENTAL STUDIES,ERACH BARUCHA,,0.00,2009-08-14,YES,,,
369,SPEECH AND LANGUAGE PROCESSING,"DANIEL JURAFSKY, JAMES H MARTIN",,0.00,2009-08-24,YES,,,
370,THEORY OF COMPUTATION,"G.P.SARATHI VARMA, B.THIRUPATHI RAO",,175.00,2009-08-25,YES,,,
371,PROGRAMMING IN C,"DR.S.RAMASWAMY, P.RADHAGANESAN",,160.00,2009-08-25,YES,,,
372,VLSI DESIGN,S.CHAND,,125.00,2009-09-17,YES,,,
373,LINUX ADMINISTRATION HAND BOOK,KVIN NEMETH,,625.00,2009-11-04,YES,PTA,,
374,HISTORY OF SCIENCE AND TECHNOLOGY,R.V.G.MENON,,90.00,2009-11-04,YES,PTA,,
375,HISTORY OF SCIENCE AND TECHNOLOGY,R.V.G.MENON,,90.00,2009-11-04,YES,PTA,,
376,VERILOG-HDL. A GUIDE TO DIGITAL DESIGN AND SYSNTHESIS,SAMIR PALNITKAR,,350.00,2008-07-29,YES,PTA,,
377,FOUNDATIONS OF GENETIC PROGRAMMING,"WILLIAM B LANGDON, RICCARDO POLI",,495.00,2008-11-04,YES,PTA,,
378,SURVAY OF TEXT MINING,MICHEL W. BERRY,,375.00,2009-11-04,YES,PTA,,
379,GENETIC ALGORITMS,GOLD BERG,,399.00,2009-11-04,YES,PTA,,
380,TCL AND THE TK TOOL KIT,JOHN K.OUSTERHOUT,,450.00,2009-11-04,YES,PTA,,
381,DATA MINING & KNOWLEDGE DISCOVERY WITH EVOLUTIONARY ALGORITHMS,ALEX A.FREITAS,,595.00,2009-11-04,YES,PTA,,
382,C AND UNIX TOOLS FOR SOFTWARE DESIGN,MARTIN L. BARRETT,,329.00,2009-11-04,YES,PTA,,
383,C AND UNIX TOOLS FOR SOFTWARE DESIGN,MARTIN L. BARRETT,,329.00,2009-11-04,YES,PTA,,
384,APPLIED CODING & INFORMATION THEORY FOR ENGINEERS,RICHARD B.WELLS,,265.00,2009-11-04,YES,PTA,,
385,QUEUING THEORY AND TELECOMMUNICATIONS NETWORKS AND APPLICATIONS,GIOVANNI GIAMBENE,,795.00,2009-11-04,YES,PTA,,
386,NATURAL LANGUAGE PROCESSING AND INFORMATION RETRIEVAL,"TANVEEN SIDHIQUE, U.S.TIWARY",,275.00,2009-11-04,YES,PTA,,
387,ADVANCED CONCEPTS IN OPERATING SYSTEMS,MUKESH SINGHAL,,375.00,2009-11-04,YES,PTA,,
388,DIGITAL IMAGE PROCESSING,RAFAEL C.GONZALEZ,,495.00,2009-11-04,YES,PTA,,
389,GENETIC ALGORITMS,GOLD BERG,,375.00,2009-11-04,YES,PTA,,
390,COMPUTER NETWORKS AND SYSTEMS QUEING THEORY AND PERFORMANCE EVALUATION EDITION III,THOMAS G.ROBERTAZZI,,545.00,2009-11-04,YES,PTA,,
391,INTELLIGENT DATA MINING,"DR.RUAN, ETIENNE K.KERRE",,895.00,2009-11-04,YES,PTA,,
392,A GUID TO MATLAB FOR BEGGINNERS AND EXPERIENCED USERS,BRIAN R.HUNT,,295.00,2009-11-04,YES,PTA,,
393,THE COMPLETE REFERENCE PERL,MARTIN C BROWN,,750.00,2009-11-04,YES,PTA,,
394,"FEDORA 10 & RHEL(INCLUDING CD-1, DVD1)","NEGUS, FOSTER, JOHNSON",,599.00,2009-11-10,YES,PTA,,
395,DATABASE MANAGEMENT SYSTEM,RAMAKRISHNAN,,516.60,2009-11-10,YES,PTA,,
396,RED HAT ENTERPRISES. LINUX NETWORKING & SYSTEM ADMINISTRATION,COLLIS,,529.00,2009-11-10,YES,PTA,,
397,COMMUNICATION SKILLS IN ENGLISH,SASI KUMAR,,115.00,2009-11-10,YES,PTA,,
398,TECHNICAL COMMUNICATION,RAMAN,,265.00,2005-11-10,YES,PTA,,
399,PATTERN CLASSIFICATION,DUDA,,499.00,2009-11-10,YES,PTA,,
400,CRYPTOGRAPHY AND INFORMATION TECHNOLOGY,PACHAGHARE,,275.00,2009-11-10,YES,PTA,,
401,INTRODUCTION TO COMPUTER THEORY,COHEN,,419.00,2009-11-10,YES,PTA,,
402,ELECTRIC CIRCUITS AND NETWORKS,SURESH KUMAR,,399.00,2009-11-10,YES,PTA,,
403,ADVANCED MICROPROCESSORS AND PEROPHERALS,A.K.RAY,,350.00,2009-11-10,YES,PTA,,
404,DATA STRUCTURES WITH C++,HUBBARD,,315.00,2009-11-10,YES,PTA,,
405,WIRELESS COMMUNICATIONS,RAPPA PORT,,325.00,2009-11-10,YES,PTA,,
406,"FUZZY SETS, UNCERTAINITY AND INFORMATION",KLIR,,250.00,2009-11-10,YES,PTA,,
407,COMPUTER ARCHITECTURE AND ORGANIZATIONS,HAYES,,467.50,2009-11-10,YES,PTA,,
408,ARTIFICIAL INTELLIGENCE,RICH,,299.00,2009-11-10,YES,PTA,,
409,CONCEPTS OF PROFESSIONAL COMMUNICATIONS,SHARMA,,125.00,2009-11-10,YES,PTA,,
410,CRYPTOGRAPHY & NETWORK SECURITY,STALLINGS,,290.00,2009-11-10,YES,PTA,,
411,EFFECTIVE SOFTWARE TESTING,DUSTIN,,299.00,2009-11-10,YES,PTA,,
412,OPERATING SYSTEMS,NUTT,,465.00,2009-11-10,YES,PTA,,
413,ENGLISH PRONOUNCIATION IN USE,HANCOCK,,215.00,2009-11-10,YES,PTA,,
414,SOFTWARE QUALITY,GILLIS,,245.00,2009-11-10,YES,PTA,,
415,FUZZY LOGIC FOR EMBEDDED SYSTEM APPLICATIONS,IBRAHIM,,"1,080.00",2009-11-10,YES,PTA,,
416,ELEMENTS OF DISCRETE MATHEMATICS,LIU,,250.00,2009-11-10,YES,PTA,,
417,DESIGN PATTERNS IN JAVA,METSKER,,425.00,2009-11-10,YES,PTA,,
418,DATA MINING,LAROSE,,229.00,2009-11-10,YES,PTA,,
419,DATA COMMUNICATIONS AND NETWORKING,FOROUZAN,,425.00,2009-11-10,YES,PTA,,
420,ORIENTED DESIGN PATTERN IN C++,PREISS,,370.00,2009-11-10,YES,PTA,,
421,DISTRIBUTED SYSTEMS,COLOURIS,,525.00,2009-11-10,YES,PTA,,
422,DISTRIBUTED SYSTEMS,COLOURIS,,525.00,2009-11-10,YES,PTA,,
423,FUZZY LOGIC,ROSS,,479.00,2009-11-10,YES,PTA,,
424,PROGRAMMING LANGUAGE CONCEPTS,GHEZZI,,221.00,2009-11-10,YES,PTA,,
425,BASIC ELECTRONIC AND LINEAR CIRCUITS,GUPTA,,235.00,2009-11-10,YES,PTA,,
426,A FIRST COURSE IN PROBABILITY,ROSS,,375.00,2009-11-10,YES,PTA,,
427,PATTERN RECOGNITION,MARQUES,,695.00,2009-11-10,YES,PTA,,
428,ALGORITHMS FOR VLSI AUTOMATION,GEREZ,,319.00,2009-11-10,YES,PTA,,
429,C AND UNIX TOOLS FOR SOFTWARE DESIGN,MARTIN L. BARRETT,,329.00,2009-11-10,YES,PTA,,
430,ENVIRONMENTAL SCIENCE AND ENGINEERING,DEBI,,165.00,2009-11-10,YES,PTA,,
431,ENVIRONMENTAL SCIENCE AND ENGINEERING,DEBI,,165.00,2009-11-10,YES,PTA,,
432,ENVIRONMENTAL SCIENCE AND ENGINEERING,DEBI,,165.00,2009-11-10,YES,PTA,,
433,EMEBEDDED SYSTEMS DESIGN,GIVARGIS,,299.00,2009-11-10,YES,PTA,,
434,PROGRAMMING LANGUAGE,SETHI,,425.00,2009-11-10,YES,PTA,,
435,MODERN INFORMATION RETRIEVAL,YATES,,375.00,2009-11-10,YES,PTA,,
436,PROGRAMMING WITH JAVA,BALAGURUSWAMY,,265.00,2009-11-10,YES,PTA,,
437,"PRESENTING AT CONFERENCES, SEMINARS & MEETINGS",SHEPHARD,,350.00,2009-11-10,YES,PTA,,
438,COMPUTER FUNDAMENTALS,RAM,,250.00,2009-11-10,YES,PTA,,
